referencia|municipio|A01setor|A01nficha|A01npessoas|datavisita|B01|B02|B03|B04|B05|B06|B07|B08|B09|B10|B11|B12|B13|B14|B15|B16|B17|B18|B191|B192|B193|B194|B195|B201|B202|B203|B204|B205|B206|B211|B212|B213|B214|B215|B216|B217|B218|B22|B231|B232|B233|B234|C011|C012|C013|C014|C015|C016|C017|C018|C019|C021|C022|C023|C031|C032|C033|C034|C0401|C0402|C0403|C0404|C0405|C0406|C0407|C0408|C0409|C0410|C0411|C0412|C0413|C0414|C0415|C0416|C0417|C0418|C0419|C0420|C0421|C0422|C051|C052|C053|C061|C062|C063|C064|C065|C066|C07|C08|C09|C101|C102|C103|C104|C0401_imput|C0402_imput|C0403_imput|C0404_imput|C0405_imput|C0406_imput|C0407_imput|C0408_imput|C0409_imput|C0410_imput|C0411_imput|C0412_imput|C0413_imput|C0414_imput|C0415_imput|C0416_imput|C0417_imput|C0418_imput|C0419_imput|C0420_imput|C0421_imput|C0422_imput|PESO|INV_FRAC|PROJ_DOM
2018|41|1|1|3|2018-10-19|1|1|1|99999|99999|1|7|3|2|3|1|1|3|1|2|1|1|1|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|1|1|0|0|0|0|1|1|1|0|0|1|0|1|0|1|1|1|1|1|0|4|0|0|3|0|0|0|0|41|41|41|41|41|41|1|3|1|5|1|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|2|4|2018-10-22|2|1|6|99999|650|0|5|3|1|1|1|1|1|1|1|1|2|1|1|1|1|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|1|0|0|0|4|0|0|0|0|0|0|0|56|32|32|32|32|32|1|2|8|2|5|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|3|2|2018-10-26|1|1|1|99999|99999|1|5|2|1|3|1|2|1|1|2|1|2|1|1|1|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|41|41|0|0|0|0|1|2|8|5|4|1|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|4|1|2018-10-19|1|1|1|99999|99999|1|5|2|1|1|2|1|2|1|2|3|1|1|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|41|41|41|41|41|41|1|2|8|3|8|88|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|5|3|2018-10-19|1|1|1|99999|99999|1|8|2|1|1|4|2|3|1|2|2|1|1|1|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|41|41|41|41|41|41|1|2|9|4|5|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|6|3|2018-10-25|1|1|1|99999|99999|1|6|1|1|1|3|2|2|1|2|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|1|1|0|1|0|0|1|0|0|0|0|41|41|41|41|41|41|1|2|8|4|7|88|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|7|2|2018-10-22|1|1|1|99999|99999|1|7|3|1|1|1|2|2|1|2|3|2|1|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0|0|0|0|0|0|0|1|0|2|0|0|1|0|0|0|0|41|41|41|41|0|0|1|2|8|5|3|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|8|3|2018-10-22|1|1|11|99999|99999|0|9|3|2|1|1|2|2|1|2|2|2|1|0|0|0|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|2|1|0|0|0|0|0|1|1|1|0|1|0|1|0|0|1|0|0|0|0|3|0|0|1|0|0|0|0|41|0|0|0|0|6|1|2|8|1|3|5|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|9|3|2018-10-19|1|1|2|250|99999|6|6|2|1|1|2|1|1|1|1|1|2|2|1|1|1|1|1|0|0|1|0|0|0|1|0|0|1|0|1|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|0|0|1|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|0|1|0|1|0|2|0|1|1|1|0|0|0|41|9|41|41|41|41|1|2|9|3|4|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|10|3|2018-10-25|1|1|2|562|99999|3|6|2|2|1|5|1|2|1|2|1|2|1|0|1|1|1|0|1|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|0|1|1|0|0|1|0|2|0|0|1|0|0|0|0|41|41|41|41|41|41|1|1|8|2|4|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|11|4|2018-10-25|1|1|1|99999|99999|1|5|1|1|1|5|2|3|1|2|1|2|1|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|1|0|0|3|0|1|0|0|0|0|41|41|41|41|41|41|1|2|8|3|4|7|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|12|5|2018-10-22|2|1|6|99999|300|0|3|1|1|3|2|2|3|1|2|2|2|1|1|1|1|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|1|0|1|0|0|0|0|0|0|0|3|0|0|1|0|0|0|0|41|41|41|41|41|41|1|2|8|3|4|2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|13|5|2018-10-19|1|1|1|99999|99999|1|6|3|1|1|5|2|2|1|2|1|2|1|1|1|1|1|0|0|0|1|1|0|1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|2|0|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|0|0|1|0|3|0|0|1|0|0|0|0|41|41|41|41|41|41|1|2|8|5|3|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|14|1|2018-10-22|2|4|6|99999|250|0|3|1|1|3|1|2|2|1|1|1|2|1|1|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|41|41|41|41|41|41|1|2|1|5|4|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|15|3|2018-10-20|1|1|1|99999|99999|1|8|3|2|3|3|2|3|1|1|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|1|1|0|0|0|1|0|1|0|1|0|1|0|1|0|0|3|0|1|0|0|0|0|41|41|41|41|41|41|1|1|1|4|5|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|16|4|2018-10-19|1|1|1|99999|99999|1|5|2|1|1|4|2|3|1|2|1|2|1|1|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|0|0|1|1|0|1|0|3|0|0|1|0|0|0|0|3|3|3|3|3|3|1|1|8|1|3|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|17|4|2018-10-22|1|1|1|99999|99999|1|6|2|1|3|3|2|3|1|2|2|2|1|1|1|1|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|2|0|0|0|1|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|0|0|0|0|0|1|0|2|0|0|1|0|0|0|0|41|41|41|41|41|41|1|2|1|5|4|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|18|3|2018-10-19|1|1|1|99999|99999|1|8|3|3|3|2|2|3|1|2|2|2|1|1|1|1|1|0|0|0|1|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|2|1|0|0|0|0|0|0|1|2|0|2|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1|1|1|1|0|5|0|0|2|0|0|0|0|41|41|41|41|41|41|1|1|1|2|5|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|19|2|2018-10-20|1|1|1|99999|99999|1|6|2|1|3|3|2|3|1|2|1|2|1|1|1|1|1|0|0|0|1|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|1|0|0|1|0|1|0|0|0|0|0|0|0|2|0|1|0|0|0|0|0|41|41|41|41|41|41|1|2|8|5|88|99|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
2018|41|1|20|2|2018-10-19|1|1|1|99999|99999|1|7|2|3|1|3|2|3|1|2|1|1|1|1|1|1|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|1|0|0|4|0|0|0|0|0|0|0|1|0|1|0|4|0|0|0|0|0|41|41|41|41|41|41|1|2|4|4|3|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|68,011133555442|41,4826087|65086,654812558
