referencia|municipio|A01setor|A01nficha|A01npessoas|datavisita|B01|B02|B03|B04|B05|B06|B07|B08|B09|B10|B11|B12|B13|B14|B15|B16|B17|B18|B191|B192|B193|B194|B195|B201|B202|B203|B204|B205|B206|B211|B212|B213|B214|B215|B216|B217|B218|B22|B231|B232|B233|B234|C011|C012|C013|C014|C015|C016|C017|C018|C019|C021|C022|C023|C031|C032|C033|C034|C0401|C0402|C0403|C0404|C0405|C0406|C0407|C0408|C0409|C0410|C0411|C0412|C0413|C0414|C0415|C0416|C0417|C0418|C0419|C0420|C0421|C0422|C051|C052|C053|C061|C062|C063|C064|C065|C066|C07|C08|C09|C101|C102|C103|C104|C0401_imput|C0402_imput|C0403_imput|C0404_imput|C0405_imput|C0406_imput|C0407_imput|C0408_imput|C0409_imput|C0410_imput|C0411_imput|C0412_imput|C0413_imput|C0414_imput|C0415_imput|C0416_imput|C0417_imput|C0418_imput|C0419_imput|C0420_imput|C0421_imput|C0422_imput|PESO|INV_FRAC|PROJ_DOM
2016|43|15|1968|4|2016-12-03|1|1|6|99999|600|0|5|2|1|1|4|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|1|1|0|1|0|0|2|0|0|1|0|0|0|43|56|56|43|43|56|1|2|4|4|5|1|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1969|1|2016-12-03|1|1|6|99999|200|0|5|2|1|1|1|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|43|43|43|43|43|43|88|2|7|1|5|4|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1970|5|2016-12-03|1|1|6|99999|500|0|5|2|1|1|4|2|2|1|1|2|1|2|1|1|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|1|1|0|0|1|0|0|0|0|0|2|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|1|0|5|0|1|0|0|0|0|0|52|52|52|43|43|1|3|1|7|1|5|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1971|3|2016-12-03|1|1|10|99999|99999|0|6|2|2|1|3|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|0|0|1|0|3|0|0|2|1|0|0|0|43|43|43|43|43|43|1|2|8|5|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1972|2|2016-12-03|1|1|1|99999|99999|1|7|2|3|1|2|2|3|1|2|3|1|2|1|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|0|2|0|0|0|0|0|0|0|0|1|2|0|1|0|0|0|0|0|43|43|43|43|43|43|1|1|1|4|5|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1973|2|2016-12-03|1|1|1|99999|99999|1|8|3|2|1|2|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|1|0|1|0|0|0|1|1|0|0|1|1|1|1|0|0|0|0|43|52|56|43|43|56|1|1|7|4|5|1|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1974|2|2016-12-03|1|1|1|99999|99999|1|8|4|2|1|2|2|2|1|2|2|1|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|1|0|0|1|0|1|0|0|0|0|0|0|0|2|0|1|1|1|0|0|0|43|52|52|0|0|0|1|1|8|4|5|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1975|2|2016-12-03|1|1|1|99999|99999|1|10|5|2|1|3|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|0|0|0|2|0|1|0|0|0|0|0|0|1|0|1|2|2|1|0|0|0|43|1|43|43|43|56|1|2|4|5|1|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1976|5|2016-12-03|1|1|1|99999|99999|1|11|4|3|1|3|2|2|1|2|2|2|2|1|1|1|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|3|1|0|0|1|2|0|0|2|0|1|1|0|1|3|0|1|2|1|0|0|0|43|52|52|43|43|43|1|2|4|5|4|2|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1977|2|2016-12-03|1|1|3|99999|99999|5|5|2|1|1|3|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0|1|0|1|0|0|0|1|1|1|0|2|0|0|0|0|0|52|52|43|43|43|43|1|2|4|4|1|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1978|1|2016-12-03|1|1|6|99999|400|0|4|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|43|43|43|43|43|43|1|2|3|4|1|5|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1980|6|2016-12-03|1|1|6|99999|500|0|6|3|1|1|5|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|1|1|0|1|0|3|0|0|1|1|0|0|0|43|43|43|43|43|43|88|2|4|4|1|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1981|2|2016-12-03|1|1|15|99999|99999|7|6|2|1|1|5|2|2|1|2|2|1|2|1|1|1|1|1|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|0|1|1|0|0|0|0|0|2|0|1|0|1|0|1|0|0|0|1|0|1|1|1|0|1|0|0|0|0|0|43|1|1|1|0|1|3|2|9|2|1|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1982|3|2016-12-03|1|1|6|99999|350|0|5|3|1|1|2|2|2|1|2|2|2|1|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|43|43|43|43|43|43|2|2|8|1|4|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1983|3|2016-12-03|1|1|1|99999|99999|1|9|3|2|1|3|2|3|1|2|3|1|2|1|1|1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|3|1|1|1|0|1|0|2|0|1|1|1|0|1|1|1|0|0|3|2|0|0|0|43|43|1|1|43|1|3|2|9|4|5|1|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1984|3|2016-12-03|1|1|1|99999|99999|1|4|2|1|1|5|1|2|1|2|3|1|2|1|0|1|1|0|0|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|0|0|1|0|0|1|0|2|0|1|0|0|0|0|0|43|0|0|0|0|0|3|88|88|88|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1986|3|2016-12-03|1|1|6|99999|400|0|4|2|1|1|1|2|2|1|2|2|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|52|43|43|43|43|43|2|2|8|3|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1987|10|2016-12-03|1|1|1|99999|99999|1|5|2|2|1|1|2|2|1|2|2|1|2|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|1|0|8|0|0|1|0|0|0|0|43|43|43|43|43|52|1|1|8|5|1|3|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1989|4|2016-12-03|1|1|1|99999|99999|1|6|2|2|1|3|2|2|1|2|2|1|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|2|0|0|0|0|0|0|2|0|0|2|1|0|0|0|1|0|1|1|0|1|1|0|0|1|0|1|0|1|1|0|1|0|2|1|0|0|1|0|43|52|43|43|43|1|3|2|8|4|3|5|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1990|2|2016-12-03|1|1|6|99999|600|0|5|2|1|1|2|2|2|1|2|1|1|2|1|1|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|1|0|1|0|1|0|0|1|0|0|0|0|43|43|43|43|43|43|1|2|9|1|5|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1991|4|2016-12-03|1|1|1|99999|99999|1|8|3|2|1|4|1|3|1|1|2|3|2|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|0|0|0|0|0|1|0|2|0|0|1|0|0|0|0|43|43|43|43|43|43|3|2|88|2|4|1|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1992|2|2016-12-03|1|1|1|99999|99999|1|5|2|1|1|4|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|1|0|0|1|0|1|0|0|0|1|0|0|1|2|0|2|0|0|0|0|1|43|43|43|43|43|43|88|88|88|88|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1993|4|2016-12-03|1|1|3|99999|99999|5|7|3|2|1|2|2|3|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|1|1|0|0|0|1|1|1|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|1|1|0|0|1|4|0|0|2|0|0|0|0|43|43|43|43|1|1|3|2|9|3|7|2|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1994|3|2016-12-03|1|1|2|300|99999|3|6|3|1|1|2|2|2|1|2|2|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|2|0|1|0|0|0|0|0|1|1|1|0|1|1|0|1|0|0|0|1|0|1|1|1|0|1|1|0|0|0|0|43|43|1|43|43|1|1|2|1|1|4|5|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1995|4|2016-12-03|1|1|1|99999|99999|1|8|2|2|1|3|1|1|1|1|1|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|1|1|0|1|0|0|0|0|0|0|1|0|1|1|0|0|1|0|0|0|0|43|43|43|43|43|43|3|2|88|3|4|88|88|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1996|5|2016-12-03|1|7|2|77777|99999|4|6|2|1|1|3|2|3|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|2|0|0|0|3|0|0|1|1|0|2|1|0|0|0|0|3|1|1|1|0|1|0|1|0|0|0|1|1|0|1|4|0|1|2|0|0|0|0|52|52|52|52|52|52|2|2|9|4|3|2|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1997|5|2016-12-03|1|1|1|99999|99999|1|12|6|4|1|2|2|2|1|2|3|1|2|1|1|1|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|0|1|0|1|0|0|1|1|0|1|1|5|0|1|3|0|0|0|0|1|1|1|1|1|1|3|1|88|4|88|88|88|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1998|4|2016-12-03|1|1|1|99999|99999|1|9|3|2|1|2|2|3|1|2|1|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|1|1|1|0|0|1|0|1|0|1|1|1|0|0|1|0|1|0|1|0|0|0|0|52|1|56|43|43|1|1|4|99|99|99|99|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|1999|4|2016-12-03|1|1|3|99999|99999|5|6|3|1|1|1|2|1|2|2|2|2|1|1|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|2|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|1|0|2|0|2|0|0|0|0|0|43|43|43|43|0|0|3|2|8|1|5|4|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2001|4|2016-12-03|1|1|1|99999|99999|1|6|2|2|1|3|2|3|1|1|3|1|2|1|1|0|1|1|0|0|1|0|0|0|1|0|1|1|0|1|0|1|0|0|1|0|0|0|0|1|0|0|1|0|0|0|0|2|0|1|1|0|0|0|0|1|1|1|0|0|1|0|1|0|1|0|0|1|0|1|2|2|0|2|1|0|0|0|43|43|43|43|43|43|3|2|8|7|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2002|3|2016-12-03|1|1|1|99999|99999|1|8|3|2|1|5|2|2|1|2|1|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|0|1|0|0|0|0|0|0|2|0|1|0|0|0|0|0|1|1|0|0|0|1|0|1|0|1|1|1|0|1|1|1|0|1|0|0|0|0|0|52|1|1|43|43|1|1|2|9|1|4|5|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2004|4|2016-12-03|1|1|2|77777|99999|3|7|3|1|1|2|2|2|1|2|2|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|1|0|1|0|0|0|0|0|0|2|0|1|0|0|0|0|0|1|1|0|0|0|1|0|0|0|0|1|0|0|1|1|1|0|1|0|0|0|0|0|43|1|1|43|43|1|1|4|99|99|99|99|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2005|4|2016-12-03|1|1|15|99999|99999|7|5|2|1|1|3|2|2|1|2|2|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|1|0|0|1|1|0|1|0|0|1|1|0|1|1|4|0|1|0|0|0|0|0|43|56|56|43|43|56|3|1|8|5|1|4|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2006|3|2016-12-03|3|1|3|99999|99999|5|7|2|3|1|5|2|3|1|2|2|1|2|1|0|0|0|1|0|0|1|0|0|1|0|1|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|0|1|2|0|0|2|0|0|0|0|52|52|52|52|52|52|2|1|1|5|1|4|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2007|4|2016-12-03|1|1|1|99999|99999|1|4|2|2|1|2|2|1|2|2|2|2|1|1|0|1|1|0|0|0|1|1|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|1|0|2|0|1|0|0|0|0|0|43|43|43|43|43|43|2|88|88|88|88|88|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
2016|43|15|2008|2|2016-12-03|1|1|2|77777|99999|3|10|3|2|1|2|2|2|1|2|2|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|1|0|0|1|1|0|1|0|1|0|0|0|0|43|43|52|43|43|1|1|2|9|4|5|1|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,4104629887846|23,27166667|16336,6359413156
